client_id,first_name,last_name,age,date_of_birth,email,phone,country,monthly_salary_usd,annual_bonus_usd,monthly_expenses_usd,debt_to_income,savings_rate,net_worth_usd,account_balance_usd,account_type,account_age_years,join_date,customer_tenure_days,num_products,is_premium_client,monthly_transactions,avg_transaction_amount_usd,failed_transactions,international_txn_pct,preferred_channel,last_login_days_ago,last_transaction_date,credit_score,num_loans,loan_default_risk,credit_card_limit_usd,payment_on_time_pct
CLI-345AF885,David,Mahoney,50,1976-01-02,dmahoney@outlook.com,540-016-7439x256,Mexico,1960.42,2445.3,1304.96,0.6656537763701682,0.2897,23564.44,1718.29,premium,19.3,2007-03-12,6946,3,1,22,1122.51,1,0.0753,app,13,2026-02-24,635,2,0.4879,4393.65,0.771
CLI-9C577E6D,Ryan,Arnold,32,1993-09-01,arnold.r@yahoo.com,326 995 53 20,Colombia,668.62,2119.14,758.62,1.134616313001515,-0.1173,-4427.62,2674.68,premium,1.8,2025-11-10,128,1,1,26,75.62,0,0.2867,app,0,2026-03-17,649,1,0.774,1531.53,0.2862
CLI-B532525A,Kurt,Cruz,54,1971-12-26,kurt45@hotmail.com,+54 15 2244 0091,Argentina,141.9,137.75,364.46,2.568479039735384,-0.1473,67926.66,339.6,premium,18.4,2008-02-13,6608,6,1,19,35.49,0,0.1827,ATM,1,2026-03-16,611,0,0.99,500.0,0.2328
CLI-ECFD8B19,Scott,Maxwell,25,2000-05-04,scott.maxwell@yahoo.com,099-356-2804,Mexico,313.91,367.02,693.42,2.2089438690744916,-0.033,10762.87,362.07,checking,14.4,2012-06-07,5032,3,0,14,63.66,1,0.1428,app,1,2026-03-08,697,2,0.9823,772.22,0.1836
CLI-4917B818,Laura,Jordan,42,1983-03-31,jordan.l@gmail.com,660.485.4271x099,Mexico,887.57,960.11,981.27,1.1055596240000176,0.0413,13457.63,752.1,checking,1.4,2025-02-07,404,3,0,16,166.29,1,0.0037,app,2,2026-03-11,743,1,0.5719,2327.52,0.4797
CLI-C50D6D1D,Lisa,Singleton,54,1971-11-17,lisa58@hotmail.com,635.798.6783,Costa Rica,542.44,1655.51,1076.51,1.9845727502399493,-0.0862,8149.48,2326.21,savings,14.6,2012-03-11,5120,4,1,34,5.48,1,0.1606,app,10,2026-02-26,553,1,0.99,1058.72,0.1948
CLI-3E176EB7,Michael,Johnson,53,1972-05-26,michael90@hotmail.com,+56 45 375 0186,Chile,544.78,1234.29,896.03,1.644763762887784,-0.1421,9708.36,573.76,savings,13.1,2013-03-26,4740,4,0,11,5.9,0,0.0786,branch,3,2026-03-12,716,2,0.8959,1376.69,0.3161
CLI-E88A68B9,Wesley,Gutierrez,49,1976-10-15,wesley58@gmail.com,(+57) 602 582 07 55,Colombia,1045.38,222.91,853.95,0.8168868144157315,0.3344,27194.99,1537.7,savings,19.9,2007-02-23,6963,5,1,25,211.14,2,0.1762,web,3,2026-03-13,746,0,0.3535,2752.42,0.8109
CLI-D3B502F0,Andrea,Meyers,42,1983-12-26,ameyers@outlook.com,+54 15 2737 7685,Argentina,920.32,3079.75,897.62,0.9753403471145312,0.4694,-6284.08,1752.63,savings,7.4,2019-05-05,2509,2,0,10,52.76,0,0.185,web,5,2026-03-12,740,1,0.4815,2403.66,0.8781
CLI-C959F8A9,Angela,Rivera,44,1981-04-07,angela86@hotmail.com,+573095174460,Colombia,1224.24,949.74,1201.02,0.9810356621896243,0.175,19222.95,4214.42,premium,9.5,2017-11-20,3040,7,1,22,55.85,2,0.2842,web,4,2026-03-12,620,1,0.7377,2678.93,0.2081
